"Laboratorio","Provincia","Cantón","Rango","Sexo","N dosis","Periodo","Cantidad"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","10 a 20","F","DV1 - PRIMER DOSIS VIDA","1-2021","5"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","10 a 20","F","DV1 - PRIMER DOSIS VIDA","2-2021","1"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","10 a 20","F","DV1 - PRIMER DOSIS VIDA","3-2021","4"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","10 a 20","F","DV2 - SEGUNDA DOSIS VIDA","2-2021","5"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","10 a 20","F","DV2 - SEGUNDA DOSIS VIDA","3-2021","4"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","10 a 20","F","DV2 - SEGUNDA DOSIS VIDA","4-2021","1"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","10 a 20","M","DV1 - PRIMER DOSIS VIDA","1-2021","5"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","10 a 20","M","DV1 - PRIMER DOSIS VIDA","2-2021","1"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","10 a 20","M","DV1 - PRIMER DOSIS VIDA","3-2021","1"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","10 a 20","M","DV1 - PRIMER DOSIS VIDA","4-2021","3"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","10 a 20","M","DV2 - SEGUNDA DOSIS VIDA","2-2021","5"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","10 a 20","M","DV2 - SEGUNDA DOSIS VIDA","3-2021","2"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","100 o mas","F","DV1 - PRIMER DOSIS VIDA","1-2021","2"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","100 o mas","F","DV1 - PRIMER DOSIS VIDA","2-2021","3"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","100 o mas","F","DV1 - PRIMER DOSIS VIDA","3-2021","7"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","100 o mas","F","DV1 - PRIMER DOSIS VIDA","4-2021","6"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","100 o mas","F","DV2 - SEGUNDA DOSIS VIDA","2-2021","3"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","100 o mas","F","DV2 - SEGUNDA DOSIS VIDA","3-2021","8"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","100 o mas","M","DV1 - PRIMER DOSIS VIDA","1-2021","1"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","100 o mas","M","DV1 - PRIMER DOSIS VIDA","2-2021","4"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","100 o mas","M","DV1 - PRIMER DOSIS VIDA","3-2021","5"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","100 o mas","M","DV1 - PRIMER DOSIS VIDA","4-2021","1"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","100 o mas","M","DV2 - SEGUNDA DOSIS VIDA","2-2021","1"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","100 o mas","M","DV2 - SEGUNDA DOSIS VIDA","3-2021","8"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","20 a 30","F","DV1 - PRIMER DOSIS VIDA","12-2020","8"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","20 a 30","F","DV1 - PRIMER DOSIS VIDA","1-2021","195"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","20 a 30","F","DV1 - PRIMER DOSIS VIDA","2-2021","115"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","20 a 30","F","DV1 - PRIMER DOSIS VIDA","3-2021","116"
